Company,"Parent company

(if known)",Allegation that a company has failed to provide plasma,Allegation that a community is receiving inadequate payments from plasma,Protests,Government interventions,Province,District (kabupaten),Sub-district (kecamatan),"Sub-district (kecamatan) 2

(if more than one listed)","Village 

(if known)",Date of most recent report,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
"
Alam Permai Makmur Sejahtera",Unknown,Yes,,,,East Kalimantan,Penajam North Paser,Penajam,,,30/06/2020,https://timurmedia.com/warga-riko-minta-kejelasan-kemitraan-plasma-pt-apmr/,https://detakkaltim.com/index.php/2018/07/07/lamban-realisasikan-kebun-plasma-pt-apmr-tuding-kontraktor-penyebabnya/,,,,,
Aburahmi,Argyle Street Management,Yes,,Yes,,South Sumatra,Penukal Abab Lematang Ilir,Penukal,,,16/02/2022,https://www.tuntasonline.com/index.php/2019/11/20/pt-aburahmi-didemo-anggota-koperasi-plasma-penukal-lestari,http://kliksumatera.com/tidak-ditanggapi-anggota-koperasi-penukal-lestari-portal-jalan-produksi-pt-aburahmi/,https://radarpalembang.sumeks.co/konflik-petani-plasma-pali-makin-meruncing-dinas-koperasi-turun-tangan-menengahi/,https://saranainformasi.com/aktivitas-di-lahan-plasma-pt-aburahmi-distop/,,,
Adau Agro Kalbar,Astra Agro Lestari,Yes,,,,West Kalimantan,Melawi,Tanah Pinoh Barat,,"Tanjung Sokan, Muara Tanjung",15/08/2016,http://web.archive.org/web/20160816123705/https://pontianak.tribunnews.com/2016/08/15/beroperasi-sejak-2012-plasma-pt-adau-belum-jelas,,,,,,
Adimuila Agrolestari,Unknown,Yes,,,,Riau,Kuantan Singingi,Singingi Hilir,,Beringin Jaya,27/08/2021,https://www.topsumbar.co.id/sisa-plasma-raib-masyarakat-beringin-jaya-tolak-tegas-perpanjangan-hgu-pt-aa/,https://news.mongabay.com/2021/11/indonesian-official-busted-over-alleged-bribe-for-palm-oil-permit/,https://potret24.com/artikel/ditahan-kpk-bupati-kuansing-tetap-diagendakan-bersaksi-untuk-mursini/,,,,
"
Alam Permai Makmur Sejahtera",Unknown,,Yes,Yes,,South Kalimantan,Barito Kuala,Wanaraya,,Kolam Kanan,6/24/2021,https://kalselpos.com/2021/06/23/kecewa-hasil-plasma-kelapa-sawit-tidak-jelas-petani-ambil-alih-lahan/,https://kalselpos.com/2021/06/24/akibat-hasil-plasma-tidak-jelas-petani-plasma-lakukan-panen-sendiri/,https://banjarmasin.tribunnews.com/2021/07/13/polemik-masih-bergulir-petani-sawit-plasma-di-batola-harapkan-tiga-tuntutan-mereka-dipenuhi?page=2,https://banjarmasin.tribunnews.com/2021/10/22/polemik-sawit-plasma-di-kolam-kanan-kejari-batola-sebut-kerugian-negara-capai-ratusan-juta,,,
Aburahmi,Argyle Street Management,,Yes,Yes,Yes,East Kalimantan,Kutai Kartanegara,Muara Kaman,,Sedulang,3/7/2021,https://kaltimtoday.co/nunggak-6-bulan-warga-sedulang-kukar-gelar-aksi-tuntut-uang-plasma-kelapa-sawit/,https://kaltimtoday.co/belum-bayar-shu-plasma-selama-6-bulan-komisi-i-dprd-kukar-supriyadi-perusahaan-akan-saya-panggil/,https://selasar.co/read/2021/03/10/4544/petani-plasma-desa-sedulang-tuntut-perusahaan-bayar-shu-6-bulan,https://kaltimtoday.co/polemik-desa-sedulang-dprd-kukar-minta-penjelasan-bank-mandiri-soal-agunan-rp112-miliar/,https://kaltimtoday.co/petani-plasma-hadir-rdp-minta-pemerintah-serius-tangani-masalah-di-desa-sedulang/,,
Agrindo Panca Tunggal Perkasa,Agrindo Panca Tunggal Perkasa,Yes,,Yes,Yes,Jambi,Tebo,Sarolangun,Pelawan,,04/06/2020,https://dinamikajambi.com/diduga-pt-aptp-kangkangi-janji-kesepakatan-dengan-pemda-sarolangun/,https://www.gatra.com/detail/news/460282/milenial/kantor-pt-agrindo-di-sarolangun-didemo-ratusan-warga,https://halojambi.id/index.php/mata-jambi/3308-warga-bathin-v-tuntut-ganti-rugi-plasma-ke-pt-agrindo,https://bekabar.id/site/index.php/content/daerah/lsm-himpabal-adukan-pt-agrindo-ke-ombudsman-provinsi-jambi,,,
Agrindo Sukses Sejahtera,Agrindo Sukses Sejahtera,Yes,,,,East Kalimantan,Berau,Segah,,,15/04/2017,https://rightsandresources.org/wp-content/uploads/2017/05/Gender-Issues-in-Large-Scale-Land-Acquisition-Insights-from-Oil-Palm-in-Indonesia_April-2017_CIFOR.pdf,,,,,,
Agro Artha Surya ,Bukit Berlian Group,,Yes,Yes,,Gorontalo,Boalemo,Wonosari,,Pangeya,10/04/2021,https://sawitwatch.or.id/2021/02/21/siaran-pers-sawit-watch-210221-dua-perusahaan-sawit-pt-aas-dan-pt-wsm-diduga-melakukan-pelanggaran-pelaksanaan-kemitraan-perkebunan-di-provinsi-gorontalo/,https://ligo.id/dprd-boalemo-tengahi-sengketa-petani-plasma-kelapa-sawit-dengan-pt-agro-arta-surya/,https://gosulut.id/post/wabup-boalemo-pt.aas-jangan-selalu-rugikan-hak-para-petani-plasma,https://prosesnews.id/fatkurrohman-perusahaan-sawit-pt-aas-di-boalemo-hanya-menyengsarakan-rakyat/,https://sawitwatch.or.id/2021/02/21/siaran-pers-sawit-watch-210221-dua-perusahaan-sawit-pt-aas-dan-pt-wsm-diduga-melakukan-pelanggaran-pelaksanaan-kemitraan-perkebunan-di-provinsi-gorontalo/,https://www.timesindonesia.co.id/read/news/340372/khayalan-inpres-moratorium-sawit-dan-cerita-petani-wonosari-yang-terpuruk,https://www.mongabay.co.id/2021/05/16/janji-janji-manis-perusahaan-sawit-berbuah-derita-petani-plasma-boalemo/
Agro Kati Lama,SIPEF,Yes,,Yes,,South Sumatra,North Musi Rawas,Muara Beliti,Tiang Pumpung Kepungut,Durian Remuk,20/04/2021,http://www.rspo.org/sites/default/files/Summary%20SEIA%20HCV%20Sipef-AKL-120309.pdf,https://www.tabloidskandal.com/gemanusa/eksekusi-lahan-pt-akl-tertunda.html,http://www.liputansumsel.com/2017/01/nah-kau-kebanyakan-melanggar-buruh-demo.html,https://www.rspo.org/certification/new-planting-procedure/public-consultations/sipef-pt-agro-kati-lama-phase-ii,https://www.cyber88.co.id/berita/24759/dua-ormas-akan-menggelar-aksi-di-depan-kantor-pt-agro-kati-lama.html,,
